vehicle_id,registration_no,vehicle_type,capacity_seated,capacity_total,depot,fuel_type,commission_date,has_apc,status
V0036,LEV-6028,standard,36,70,Thokar Depot,cng,2022-01-08,true,active
V0037,LEC-7535,standard,36,70,Thokar Depot,cng,2017-03-14,true,active
V0038,LEU-1916,standard,36,70,Thokar Depot,electric,2013-08-02,true,active
V0039,LEN-2450,standard,36,70,Thokar Depot,diesel,2012-12-15,true,active
V0040,LEU-6867,standard,36,70,Thokar Depot,diesel,2023-03-03,true,active
V0041,LEY-7768,standard,36,70,Thokar Depot,diesel,2022-08-04,true,active
V0042,LEJ-3810,standard,36,70,Thokar Depot,diesel,2020-04-02,true,active
V0043,LET-8252,standard,36,70,Thokar Depot,electric,2016-06-22,true,active
V0044,LEX-3989,standard,36,70,Thokar Depot,cng,2023-12-01,true,active
V0045,LES-3847,standard,36,70,Shahdara Depot,diesel,2018-07-18,true,active
V0046,LET-2348,standard,36,70,Shahdara Depot,diesel,2015-02-21,true,active
V0047,LEE-3763,standard,36,70,Shahdara Depot,cng,2016-02-01,false,active
V0048,LER-8718,standard,36,70,Shahdara Depot,electric,2014-03-19,true,active
V0049,LEP-2033,standard,36,70,Gulberg Depot,diesel,2014-11-06,false,active
V0050,LEY-2550,standard,36,70,Gulberg Depot,electric,2014-05-03,true,active
V0051,LER-9506,standard,36,70,Gulberg Depot,cng,2019-11-20,true,active
V0052,LEV-3868,standard,36,70,Gulberg Depot,diesel,2017-06-20,true,active
V0053,LEM-3800,standard,36,70,Gulberg Depot,cng,2023-10-16,true,active
V0054,LEU-4299,standard,36,70,Shahdara Depot,diesel,2022-09-27,true,active
V0055,LEF-3345,standard,36,70,Shahdara Depot,diesel,2023-03-21,true,active
V0056,LEE-2667,standard,36,70,Shahdara Depot,diesel,2017-12-24,true,active
V0057,LEN-7070,standard,36,70,Shahdara Depot,cng,2023-07-19,true,active
V0058,LEJ-1610,standard,36,70,Shahdara Depot,diesel,2016-02-20,true,active
V0059,LEN-5545,minibus,22,30,Shahdara Depot,cng,2021-10-02,true,active
V0060,LEV-2161,minibus,22,30,Shahdara Depot,cng,2018-05-14,true,active
V0061,LEA-4736,minibus,22,30,Shahdara Depot,cng,2019-03-20,true,active
V0062,LER-4633,minibus,22,30,Township Depot,cng,2023-12-28,false,active
V0063,LET-9692,minibus,22,30,Township Depot,cng,2015-07-07,true,active
V0064,LEL-1452,minibus,22,30,Township Depot,diesel,2021-09-30,true,active
V0065,LED-5057,articulated,48,150,Gulberg Depot,diesel,2022-11-01,true,spare
V0066,LEX-2468,minibus,22,30,Shahdara Depot,cng,2020-01-21,true,spare
V0067,LEB-9530,standard,36,70,Township Depot,diesel,2018-09-10,true,spare
