schedule_id,route_id,service_id,direction,period,start_time,end_time,headway_min,planned_runtime_min,valid_from,valid_to
SCH000020,R002,WKDY_AUT25,1,evening,19:30,22:30,45,52.1,2025-09-01,2025-12-31
SCH000021,R003,WKDY_AUT25,0,early,05:30,07:00,30,32.5,2025-09-01,2025-12-31
SCH000022,R003,WKDY_AUT25,0,am_peak,07:00,10:00,20,51.0,2025-09-01,2025-12-31
SCH000023,R003,WKDY_AUT25,0,midday,10:00,16:00,30,42.0,2025-09-01,2025-12-31
SCH000024,R003,WKDY_AUT25,0,pm_peak,16:00,19:30,20,52.9,2025-09-01,2025-12-31
SCH000025,R003,WKDY_AUT25,0,evening,19:30,22:30,45,37.6,2025-09-01,2025-12-31
SCH000026,R003,WKDY_AUT25,1,early,05:30,07:00,30,32.5,2025-09-01,2025-12-31
SCH000027,R003,WKDY_AUT25,1,am_peak,07:00,10:00,20,51.0,2025-09-01,2025-12-31
SCH000028,R003,WKDY_AUT25,1,midday,10:00,16:00,30,42.0,2025-09-01,2025-12-31
SCH000029,R003,WKDY_AUT25,1,pm_peak,16:00,19:30,20,52.9,2025-09-01,2025-12-31
SCH000030,R003,WKDY_AUT25,1,evening,19:30,22:30,45,37.6,2025-09-01,2025-12-31
SCH000031,R004,WKDY_AUT25,0,early,05:30,07:00,45,21.1,2025-09-01,2025-12-31
SCH000032,R004,WKDY_AUT25,0,am_peak,07:00,10:00,30,30.6,2025-09-01,2025-12-31
SCH000033,R004,WKDY_AUT25,0,midday,10:00,16:00,60,26.1,2025-09-01,2025-12-31
SCH000034,R004,WKDY_AUT25,0,pm_peak,16:00,19:30,30,31.7,2025-09-01,2025-12-31
SCH000035,R004,WKDY_AUT25,0,evening,19:30,22:30,60,23.3,2025-09-01,2025-12-31
SCH000036,R004,WKDY_AUT25,1,early,05:30,07:00,45,21.1,2025-09-01,2025-12-31
SCH000037,R004,WKDY_AUT25,1,am_peak,07:00,10:00,30,30.6,2025-09-01,2025-12-31
SCH000038,R004,WKDY_AUT25,1,midday,10:00,16:00,60,26.1,2025-09-01,2025-12-31
SCH000039,R004,WKDY_AUT25,1,pm_peak,16:00,19:30,30,31.7,2025-09-01,2025-12-31
SCH000040,R004,WKDY_AUT25,1,evening,19:30,22:30,60,23.3,2025-09-01,2025-12-31
SCH000041,R005,WKDY_AUT25,0,early,05:30,07:00,45,33.9,2025-09-01,2025-12-31
SCH000042,R005,WKDY_AUT25,0,am_peak,07:00,10:00,30,49.0,2025-09-01,2025-12-31
SCH000043,R005,WKDY_AUT25,0,midday,10:00,16:00,60,41.8,2025-09-01,2025-12-31
SCH000044,R005,WKDY_AUT25,0,pm_peak,16:00,19:30,30,50.8,2025-09-01,2025-12-31
SCH000045,R005,WKDY_AUT25,0,evening,19:30,22:30,60,37.4,2025-09-01,2025-12-31
SCH000046,R005,WKDY_AUT25,1,early,05:30,07:00,45,33.9,2025-09-01,2025-12-31
SCH000047,R005,WKDY_AUT25,1,am_peak,07:00,10:00,30,49.0,2025-09-01,2025-12-31
SCH000048,R005,WKDY_AUT25,1,midday,10:00,16:00,60,41.8,2025-09-01,2025-12-31
SCH000049,R005,WKDY_AUT25,1,pm_peak,16:00,19:30,30,50.8,2025-09-01,2025-12-31
SCH000050,R005,WKDY_AUT25,1,evening,19:30,22:30,60,37.4,2025-09-01,2025-12-31
SCH000051,R006,WKDY_AUT25,0,early,05:30,07:00,45,33.2,2025-09-01,2025-12-31
SCH000052,R006,WKDY_AUT25,0,am_peak,07:00,10:00,30,48.0,2025-09-01,2025-12-31
SCH000053,R006,WKDY_AUT25,0,midday,10:00,16:00,60,41.0,2025-09-01,2025-12-31
SCH000054,R006,WKDY_AUT25,0,pm_peak,16:00,19:30,30,49.8,2025-09-01,2025-12-31
SCH000055,R006,WKDY_AUT25,0,evening,19:30,22:30,60,36.7,2025-09-01,2025-12-31
SCH000056,R006,WKDY_AUT25,1,early,05:30,07:00,45,33.2,2025-09-01,2025-12-31
SCH000057,R006,WKDY_AUT25,1,am_peak,07:00,10:00,30,48.0,2025-09-01,2025-12-31
SCH000058,R006,WKDY_AUT25,1,midday,10:00,16:00,60,41.0,2025-09-01,2025-12-31
SCH000059,R006,WKDY_AUT25,1,pm_peak,16:00,19:30,30,49.8,2025-09-01,2025-12-31
SCH000060,R006,WKDY_AUT25,1,evening,19:30,22:30,60,36.7,2025-09-01,2025-12-31
SCH000061,R007,WKDY_AUT25,0,early,05:30,07:00,60,18.5,2025-09-01,2025-12-31
SCH000062,R007,WKDY_AUT25,0,am_peak,07:00,10:00,45,25.1,2025-09-01,2025-12-31
SCH000063,R007,WKDY_AUT25,0,midday,10:00,16:00,90,22.5,2025-09-01,2025-12-31
SCH000064,R007,WKDY_AUT25,0,pm_peak,16:00,19:30,45,25.9,2025-09-01,2025-12-31
SCH000065,R007,WKDY_AUT25,0,evening,19:30,22:30,90,20.3,2025-09-01,2025-12-31
SCH000066,R007,WKDY_AUT25,1,early,05:30,07:00,60,18.5,2025-09-01,2025-12-31
SCH000067,R007,WKDY_AUT25,1,am_peak,07:00,10:00,45,25.1,2025-09-01,2025-12-31
SCH000068,R007,WKDY_AUT25,1,midday,10:00,16:00,90,22.5,2025-09-01,2025-12-31
SCH000069,R007,WKDY_AUT25,1,pm_peak,16:00,19:30,45,25.9,2025-09-01,2025-12-31
SCH000070,R007,WKDY_AUT25,1,evening,19:30,22:30,90,20.3,2025-09-01,2025-12-31
SCH000071,R008,WKDY_AUT25,0,early,05:30,07:00,60,11.9,2025-09-01,2025-12-31
SCH000072,R008,WKDY_AUT25,0,am_peak,07:00,10:00,45,16.2,2025-09-01,2025-12-31
SCH000073,R008,WKDY_AUT25,0,midday,10:00,16:00,90,14.5,2025-09-01,2025-12-31
SCH000074,R008,WKDY_AUT25,0,pm_peak,16:00,19:30,45,16.7,2025-09-01,2025-12-31
SCH000075,R008,WKDY_AUT25,0,evening,19:30,22:30,90,13.1,2025-09-01,2025-12-31
SCH000076,R008,WKDY_AUT25,1,early,05:30,07:00,60,11.9,2025-09-01,2025-12-31
SCH000077,R008,WKDY_AUT25,1,am_peak,07:00,10:00,45,16.2,2025-09-01,2025-12-31
SCH000078,R008,WKDY_AUT25,1,midday,10:00,16:00,90,14.5,2025-09-01,2025-12-31
SCH000079,R008,WKDY_AUT25,1,pm_peak,16:00,19:30,45,16.7,2025-09-01,2025-12-31
SCH000080,R008,WKDY_AUT25,1,evening,19:30,22:30,90,13.1,2025-09-01,2025-12-31
SCH000081,R001,SAT_AUT25,0,early,05:30,07:00,19,56.5,2025-09-01,2025-12-31
SCH000082,R001,SAT_AUT25,0,am_peak,07:00,10:00,12,73.4,2025-09-01,2025-12-31
SCH000083,R001,SAT_AUT25,0,midday,10:00,16:00,19,63.9,2025-09-01,2025-12-31
SCH000084,R001,SAT_AUT25,0,pm_peak,16:00,19:30,12,77.3,2025-09-01,2025-12-31
SCH000085,R001,SAT_AUT25,0,evening,19:30,22:30,25,61.2,2025-09-01,2025-12-31
SCH000086,R001,SAT_AUT25,1,early,05:30,07:00,19,56.5,2025-09-01,2025-12-31
SCH000087,R001,SAT_AUT25,1,am_peak,07:00,10:00,12,73.4,2025-09-01,2025-12-31
SCH000088,R001,SAT_AUT25,1,midday,10:00,16:00,19,63.9,2025-09-01,2025-12-31
SCH000089,R001,SAT_AUT25,1,pm_peak,16:00,19:30,12,77.3,2025-09-01,2025-12-31
SCH000090,R001,SAT_AUT25,1,evening,19:30,22:30,25,61.2,2025-09-01,2025-12-31
SCH000091,R002,SAT_AUT25,0,early,05:30,07:00,38,40.9,2025-09-01,2025-12-31
SCH000092,R002,SAT_AUT25,0,am_peak,07:00,10:00,25,64.3,2025-09-01,2025-12-31
SCH000093,R002,SAT_AUT25,0,midday,10:00,16:00,38,52.9,2025-09-01,2025-12-31
SCH000094,R002,SAT_AUT25,0,pm_peak,16:00,19:30,25,66.7,2025-09-01,2025-12-31
SCH000095,R002,SAT_AUT25,0,evening,19:30,22:30,56,47.4,2025-09-01,2025-12-31
SCH000096,R002,SAT_AUT25,1,early,05:30,07:00,38,40.9,2025-09-01,2025-12-31
SCH000097,R002,SAT_AUT25,1,am_peak,07:00,10:00,25,64.3,2025-09-01,2025-12-31
SCH000098,R002,SAT_AUT25,1,midday,10:00,16:00,38,52.9,2025-09-01,2025-12-31
SCH000099,R002,SAT_AUT25,1,pm_peak,16:00,19:30,25,66.7,2025-09-01,2025-12-31
SCH000100,R002,SAT_AUT25,1,evening,19:30,22:30,56,47.4,2025-09-01,2025-12-31
SCH000101,R003,SAT_AUT25,0,early,05:30,07:00,38,29.5,2025-09-01,2025-12-31
SCH000102,R003,SAT_AUT25,0,am_peak,07:00,10:00,25,46.4,2025-09-01,2025-12-31
SCH000103,R003,SAT_AUT25,0,midday,10:00,16:00,38,38.2,2025-09-01,2025-12-31
SCH000104,R003,SAT_AUT25,0,pm_peak,16:00,19:30,25,48.1,2025-09-01,2025-12-31
SCH000105,R003,SAT_AUT25,0,evening,19:30,22:30,56,34.2,2025-09-01,2025-12-31
SCH000106,R003,SAT_AUT25,1,early,05:30,07:00,38,29.5,2025-09-01,2025-12-31
SCH000107,R003,SAT_AUT25,1,am_peak,07:00,10:00,25,46.4,2025-09-01,2025-12-31
SCH000108,R003,SAT_AUT25,1,midday,10:00,16:00,38,38.2,2025-09-01,2025-12-31
SCH000109,R003,SAT_AUT25,1,pm_peak,16:00,19:30,25,48.1,2025-09-01,2025-12-31
SCH000110,R003,SAT_AUT25,1,evening,19:30,22:30,56,34.2,2025-09-01,2025-12-31
SCH000111,R004,SAT_AUT25,0,early,05:30,07:00,56,19.2,2025-09-01,2025-12-31
SCH000112,R004,SAT_AUT25,0,am_peak,07:00,10:00,38,27.8,2025-09-01,2025-12-31
SCH000113,R004,SAT_AUT25,0,midday,10:00,16:00,75,23.7,2025-09-01,2025-12-31
SCH000114,R004,SAT_AUT25,0,pm_peak,16:00,19:30,38,28.8,2025-09-01,2025-12-31
SCH000115,R004,SAT_AUT25,0,evening,19:30,22:30,75,21.2,2025-09-01,2025-12-31
SCH000116,R004,SAT_AUT25,1,early,05:30,07:00,56,19.2,2025-09-01,2025-12-31
SCH000117,R004,SAT_AUT25,1,am_peak,07:00,10:00,38,27.8,2025-09-01,2025-12-31
SCH000118,R004,SAT_AUT25,1,midday,10:00,16:00,75,23.7,2025-09-01,2025-12-31
SCH000119,R004,SAT_AUT25,1,pm_peak,16:00,19:30,38,28.8,2025-09-01,2025-12-31
SCH000120,R004,SAT_AUT25,1,evening,19:30,22:30,75,21.2,2025-09-01,2025-12-31
SCH000121,R005,SAT_AUT25,0,early,05:30,07:00,56,30.8,2025-09-01,2025-12-31
SCH000122,R005,SAT_AUT25,0,am_peak,07:00,10:00,38,44.6,2025-09-01,2025-12-31
SCH000123,R005,SAT_AUT25,0,midday,10:00,16:00,75,38.0,2025-09-01,2025-12-31
SCH000124,R005,SAT_AUT25,0,pm_peak,16:00,19:30,38,46.2,2025-09-01,2025-12-31
SCH000125,R005,SAT_AUT25,0,evening,19:30,22:30,75,34.0,2025-09-01,2025-12-31
SCH000126,R005,SAT_AUT25,1,early,05:30,07:00,56,30.8,2025-09-01,2025-12-31
SCH000127,R005,SAT_AUT25,1,am_peak,07:00,10:00,38,44.6,2025-09-01,2025-12-31
SCH000128,R005,SAT_AUT25,1,midday,10:00,16:00,75,38.0,2025-09-01,2025-12-31
SCH000129,R005,SAT_AUT25,1,pm_peak,16:00,19:30,38,46.2,2025-09-01,2025-12-31
SCH000130,R005,SAT_AUT25,1,evening,19:30,22:30,75,34.0,2025-09-01,2025-12-31
SCH000131,R006,SAT_AUT25,0,early,05:30,07:00,56,30.2,2025-09-01,2025-12-31
SCH000132,R006,SAT_AUT25,0,am_peak,07:00,10:00,38,43.7,2025-09-01,2025-12-31
SCH000133,R006,SAT_AUT25,0,midday,10:00,16:00,75,37.3,2025-09-01,2025-12-31
SCH000134,R006,SAT_AUT25,0,pm_peak,16:00,19:30,38,45.2,2025-09-01,2025-12-31
SCH000135,R006,SAT_AUT25,0,evening,19:30,22:30,75,33.3,2025-09-01,2025-12-31
SCH000136,R006,SAT_AUT25,1,early,05:30,07:00,56,30.2,2025-09-01,2025-12-31
SCH000137,R006,SAT_AUT25,1,am_peak,07:00,10:00,38,43.7,2025-09-01,2025-12-31
SCH000138,R006,SAT_AUT25,1,midday,10:00,16:00,75,37.3,2025-09-01,2025-12-31
SCH000139,R006,SAT_AUT25,1,pm_peak,16:00,19:30,38,45.2,2025-09-01,2025-12-31
SCH000140,R006,SAT_AUT25,1,evening,19:30,22:30,75,33.3,2025-09-01,2025-12-31
SCH000141,R007,SAT_AUT25,0,early,05:30,07:00,75,16.9,2025-09-01,2025-12-31
SCH000142,R007,SAT_AUT25,0,am_peak,07:00,10:00,56,22.8,2025-09-01,2025-12-31
SCH000143,R007,SAT_AUT25,0,midday,10:00,16:00,112,20.4,2025-09-01,2025-12-31
SCH000144,R007,SAT_AUT25,0,pm_peak,16:00,19:30,56,23.5,2025-09-01,2025-12-31
SCH000145,R007,SAT_AUT25,0,evening,19:30,22:30,112,18.5,2025-09-01,2025-12-31
SCH000146,R007,SAT_AUT25,1,early,05:30,07:00,75,16.9,2025-09-01,2025-12-31
SCH000147,R007,SAT_AUT25,1,am_peak,07:00,10:00,56,22.8,2025-09-01,2025-12-31
SCH000148,R007,SAT_AUT25,1,midday,10:00,16:00,112,20.4,2025-09-01,2025-12-31
SCH000149,R007,SAT_AUT25,1,pm_peak,16:00,19:30,56,23.5,2025-09-01,2025-12-31
SCH000150,R007,SAT_AUT25,1,evening,19:30,22:30,112,18.5,2025-09-01,2025-12-31
SCH000151,R008,SAT_AUT25,0,early,05:30,07:00,75,10.9,2025-09-01,2025-12-31
SCH000152,R008,SAT_AUT25,0,am_peak,07:00,10:00,56,14.7,2025-09-01,2025-12-31
SCH000153,R008,SAT_AUT25,0,midday,10:00,16:00,112,13.1,2025-09-01,2025-12-31
SCH000154,R008,SAT_AUT25,0,pm_peak,16:00,19:30,56,15.1,2025-09-01,2025-12-31
SCH000155,R008,SAT_AUT25,0,evening,19:30,22:30,112,11.9,2025-09-01,2025-12-31
SCH000156,R008,SAT_AUT25,1,early,05:30,07:00,75,10.9,2025-09-01,2025-12-31
SCH000157,R008,SAT_AUT25,1,am_peak,07:00,10:00,56,14.7,2025-09-01,2025-12-31
SCH000158,R008,SAT_AUT25,1,midday,10:00,16:00,112,13.1,2025-09-01,2025-12-31
SCH000159,R008,SAT_AUT25,1,pm_peak,16:00,19:30,56,15.1,2025-09-01,2025-12-31
SCH000160,R008,SAT_AUT25,1,evening,19:30,22:30,112,11.9,2025-09-01,2025-12-31
SCH000161,R001,SUN_AUT25,0,early,05:30,07:00,22,54.0,2025-09-01,2025-12-31
SCH000162,R001,SUN_AUT25,0,am_peak,07:00,10:00,15,70.3,2025-09-01,2025-12-31
SCH000163,R001,SUN_AUT25,0,midday,10:00,16:00,22,61.1,2025-09-01,2025-12-31
SCH000164,R001,SUN_AUT25,0,pm_peak,16:00,19:30,15,73.9,2025-09-01,2025-12-31
SCH000165,R001,SUN_AUT25,0,evening,19:30,22:30,30,58.5,2025-09-01,2025-12-31
SCH000166,R001,SUN_AUT25,1,early,05:30,07:00,22,54.0,2025-09-01,2025-12-31
SCH000167,R001,SUN_AUT25,1,am_peak,07:00,10:00,15,70.3,2025-09-01,2025-12-31
SCH000168,R001,SUN_AUT25,1,midday,10:00,16:00,22,61.1,2025-09-01,2025-12-31
SCH000169,R001,SUN_AUT25,1,pm_peak,16:00,19:30,15,73.9,2025-09-01,2025-12-31
SCH000170,R001,SUN_AUT25,1,evening,19:30,22:30,30,58.5,2025-09-01,2025-12-31
SCH000171,R002,SUN_AUT25,0,early,05:30,07:00,45,39.1,2025-09-01,2025-12-31
SCH000172,R002,SUN_AUT25,0,am_peak,07:00,10:00,30,61.5,2025-09-01,2025-12-31
SCH000173,R002,SUN_AUT25,0,midday,10:00,16:00,45,50.6,2025-09-01,2025-12-31
SCH000174,R002,SUN_AUT25,0,pm_peak,16:00,19:30,30,63.8,2025-09-01,2025-12-31
SCH000175,R002,SUN_AUT25,0,evening,19:30,22:30,68,45.3,2025-09-01,2025-12-31
SCH000176,R002,SUN_AUT25,1,early,05:30,07:00,45,39.1,2025-09-01,2025-12-31
SCH000177,R002,SUN_AUT25,1,am_peak,07:00,10:00,30,61.5,2025-09-01,2025-12-31
SCH000178,R002,SUN_AUT25,1,midday,10:00,16:00,45,50.6,2025-09-01,2025-12-31
SCH000179,R002,SUN_AUT25,1,pm_peak,16:00,19:30,30,63.8,2025-09-01,2025-12-31
SCH000180,R002,SUN_AUT25,1,evening,19:30,22:30,68,45.3,2025-09-01,2025-12-31
SCH000181,R003,SUN_AUT25,0,early,05:30,07:00,45,28.2,2025-09-01,2025-12-31
SCH000182,R003,SUN_AUT25,0,am_peak,07:00,10:00,30,44.3,2025-09-01,2025-12-31
SCH000183,R003,SUN_AUT25,0,midday,10:00,16:00,45,36.5,2025-09-01,2025-12-31
SCH000184,R003,SUN_AUT25,0,pm_peak,16:00,19:30,30,46.0,2025-09-01,2025-12-31
SCH000185,R003,SUN_AUT25,0,evening,19:30,22:30,68,32.7,2025-09-01,2025-12-31
SCH000186,R003,SUN_AUT25,1,early,05:30,07:00,45,28.2,2025-09-01,2025-12-31
SCH000187,R003,SUN_AUT25,1,am_peak,07:00,10:00,30,44.3,2025-09-01,2025-12-31
SCH000188,R003,SUN_AUT25,1,midday,10:00,16:00,45,36.5,2025-09-01,2025-12-31
SCH000189,R003,SUN_AUT25,1,pm_peak,16:00,19:30,30,46.0,2025-09-01,2025-12-31
SCH000190,R003,SUN_AUT25,1,evening,19:30,22:30,68,32.7,2025-09-01,2025-12-31
SCH000191,R004,SUN_AUT25,0,early,05:30,07:00,68,18.4,2025-09-01,2025-12-31
SCH000192,R004,SUN_AUT25,0,am_peak,07:00,10:00,45,26.6,2025-09-01,2025-12-31
SCH000193,R004,SUN_AUT25,0,midday,10:00,16:00,90,22.7,2025-09-01,2025-12-31
SCH000194,R004,SUN_AUT25,0,pm_peak,16:00,19:30,45,27.5,2025-09-01,2025-12-31
SCH000195,R004,SUN_AUT25,0,evening,19:30,22:30,90,20.3,2025-09-01,2025-12-31
SCH000196,R004,SUN_AUT25,1,early,05:30,07:00,68,18.4,2025-09-01,2025-12-31
SCH000197,R004,SUN_AUT25,1,am_peak,07:00,10:00,45,26.6,2025-09-01,2025-12-31
SCH000198,R004,SUN_AUT25,1,midday,10:00,16:00,90,22.7,2025-09-01,2025-12-31
SCH000199,R004,SUN_AUT25,1,pm_peak,16:00,19:30,45,27.5,2025-09-01,2025-12-31
SCH000200,R004,SUN_AUT25,1,evening,19:30,22:30,90,20.3,2025-09-01,2025-12-31
SCH000201,R005,SUN_AUT25,0,early,05:30,07:00,68,29.4,2025-09-01,2025-12-31
SCH000202,R005,SUN_AUT25,0,am_peak,07:00,10:00,45,42.6,2025-09-01,2025-12-31
SCH000203,R005,SUN_AUT25,0,midday,10:00,16:00,90,36.4,2025-09-01,2025-12-31
SCH000204,R005,SUN_AUT25,0,pm_peak,16:00,19:30,45,44.2,2025-09-01,2025-12-31
SCH000205,R005,SUN_AUT25,0,evening,19:30,22:30,90,32.5,2025-09-01,2025-12-31
SCH000206,R005,SUN_AUT25,1,early,05:30,07:00,68,29.4,2025-09-01,2025-12-31
SCH000207,R005,SUN_AUT25,1,am_peak,07:00,10:00,45,42.6,2025-09-01,2025-12-31
SCH000208,R005,SUN_AUT25,1,midday,10:00,16:00,90,36.4,2025-09-01,2025-12-31
SCH000209,R005,SUN_AUT25,1,pm_peak,16:00,19:30,45,44.2,2025-09-01,2025-12-31
SCH000210,R005,SUN_AUT25,1,evening,19:30,22:30,90,32.5,2025-09-01,2025-12-31
SCH000211,R006,SUN_AUT25,0,early,05:30,07:00,68,28.8,2025-09-01,2025-12-31
SCH000212,R006,SUN_AUT25,0,am_peak,07:00,10:00,45,41.8,2025-09-01,2025-12-31
SCH000213,R006,SUN_AUT25,0,midday,10:00,16:00,90,35.6,2025-09-01,2025-12-31
SCH000214,R006,SUN_AUT25,0,pm_peak,16:00,19:30,45,43.3,2025-09-01,2025-12-31
SCH000215,R006,SUN_AUT25,0,evening,19:30,22:30,90,31.9,2025-09-01,2025-12-31
SCH000216,R006,SUN_AUT25,1,early,05:30,07:00,68,28.8,2025-09-01,2025-12-31
SCH000217,R006,SUN_AUT25,1,am_peak,07:00,10:00,45,41.8,2025-09-01,2025-12-31
SCH000218,R006,SUN_AUT25,1,midday,10:00,16:00,90,35.6,2025-09-01,2025-12-31
SCH000219,R006,SUN_AUT25,1,pm_peak,16:00,19:30,45,43.3,2025-09-01,2025-12-31
SCH000220,R006,SUN_AUT25,1,evening,19:30,22:30,90,31.9,2025-09-01,2025-12-31
SCH000221,R007,SUN_AUT25,0,early,05:30,07:00,90,16.1,2025-09-01,2025-12-31
SCH000222,R007,SUN_AUT25,0,am_peak,07:00,10:00,68,21.8,2025-09-01,2025-12-31
SCH000223,R007,SUN_AUT25,0,midday,10:00,16:00,135,19.5,2025-09-01,2025-12-31
SCH000224,R007,SUN_AUT25,0,pm_peak,16:00,19:30,68,22.5,2025-09-01,2025-12-31
SCH000225,R007,SUN_AUT25,0,evening,19:30,22:30,135,17.7,2025-09-01,2025-12-31
SCH000226,R007,SUN_AUT25,1,early,05:30,07:00,90,16.1,2025-09-01,2025-12-31
SCH000227,R007,SUN_AUT25,1,am_peak,07:00,10:00,68,21.8,2025-09-01,2025-12-31
SCH000228,R007,SUN_AUT25,1,midday,10:00,16:00,135,19.5,2025-09-01,2025-12-31
SCH000229,R007,SUN_AUT25,1,pm_peak,16:00,19:30,68,22.5,2025-09-01,2025-12-31
SCH000230,R007,SUN_AUT25,1,evening,19:30,22:30,135,17.7,2025-09-01,2025-12-31
SCH000231,R008,SUN_AUT25,0,early,05:30,07:00,90,10.4,2025-09-01,2025-12-31
SCH000232,R008,SUN_AUT25,0,am_peak,07:00,10:00,68,14.1,2025-09-01,2025-12-31
SCH000233,R008,SUN_AUT25,0,midday,10:00,16:00,135,12.6,2025-09-01,2025-12-31
SCH000234,R008,SUN_AUT25,0,pm_peak,16:00,19:30,68,14.5,2025-09-01,2025-12-31
SCH000235,R008,SUN_AUT25,0,evening,19:30,22:30,135,11.4,2025-09-01,2025-12-31
SCH000236,R008,SUN_AUT25,1,early,05:30,07:00,90,10.4,2025-09-01,2025-12-31
SCH000237,R008,SUN_AUT25,1,am_peak,07:00,10:00,68,14.1,2025-09-01,2025-12-31
SCH000238,R008,SUN_AUT25,1,midday,10:00,16:00,135,12.6,2025-09-01,2025-12-31
SCH000239,R008,SUN_AUT25,1,pm_peak,16:00,19:30,68,14.5,2025-09-01,2025-12-31
SCH000240,R008,SUN_AUT25,1,evening,19:30,22:30,135,11.4,2025-09-01,2025-12-31
SCH000241,R001,HOL,0,early,05:30,07:00,22,54.0,2025-10-06,2025-10-12
SCH000242,R001,HOL,0,am_peak,07:00,10:00,15,70.3,2025-10-06,2025-10-12
SCH000243,R001,HOL,0,midday,10:00,16:00,22,61.1,2025-10-06,2025-10-12
SCH000244,R001,HOL,0,pm_peak,16:00,19:30,15,73.9,2025-10-06,2025-10-12
SCH000245,R001,HOL,0,evening,19:30,22:30,30,58.5,2025-10-06,2025-10-12
SCH000246,R001,HOL,1,early,05:30,07:00,22,54.0,2025-10-06,2025-10-12
SCH000247,R001,HOL,1,am_peak,07:00,10:00,15,70.3,2025-10-06,2025-10-12
SCH000248,R001,HOL,1,midday,10:00,16:00,22,61.1,2025-10-06,2025-10-12
SCH000249,R001,HOL,1,pm_peak,16:00,19:30,15,73.9,2025-10-06,2025-10-12
SCH000250,R001,HOL,1,evening,19:30,22:30,30,58.5,2025-10-06,2025-10-12
SCH000251,R002,HOL,0,early,05:30,07:00,45,39.1,2025-10-06,2025-10-12
SCH000252,R002,HOL,0,am_peak,07:00,10:00,30,61.5,2025-10-06,2025-10-12
SCH000253,R002,HOL,0,midday,10:00,16:00,45,50.6,2025-10-06,2025-10-12
SCH000254,R002,HOL,0,pm_peak,16:00,19:30,30,63.8,2025-10-06,2025-10-12
SCH000255,R002,HOL,0,evening,19:30,22:30,68,45.3,2025-10-06,2025-10-12
SCH000256,R002,HOL,1,early,05:30,07:00,45,39.1,2025-10-06,2025-10-12
SCH000257,R002,HOL,1,am_peak,07:00,10:00,30,61.5,2025-10-06,2025-10-12
SCH000258,R002,HOL,1,midday,10:00,16:00,45,50.6,2025-10-06,2025-10-12
SCH000259,R002,HOL,1,pm_peak,16:00,19:30,30,63.8,2025-10-06,2025-10-12
SCH000260,R002,HOL,1,evening,19:30,22:30,68,45.3,2025-10-06,2025-10-12
SCH000261,R003,HOL,0,early,05:30,07:00,45,28.2,2025-10-06,2025-10-12
SCH000262,R003,HOL,0,am_peak,07:00,10:00,30,44.3,2025-10-06,2025-10-12
SCH000263,R003,HOL,0,midday,10:00,16:00,45,36.5,2025-10-06,2025-10-12
SCH000264,R003,HOL,0,pm_peak,16:00,19:30,30,46.0,2025-10-06,2025-10-12
SCH000265,R003,HOL,0,evening,19:30,22:30,68,32.7,2025-10-06,2025-10-12
SCH000266,R003,HOL,1,early,05:30,07:00,45,28.2,2025-10-06,2025-10-12
SCH000267,R003,HOL,1,am_peak,07:00,10:00,30,44.3,2025-10-06,2025-10-12
SCH000268,R003,HOL,1,midday,10:00,16:00,45,36.5,2025-10-06,2025-10-12
SCH000269,R003,HOL,1,pm_peak,16:00,19:30,30,46.0,2025-10-06,2025-10-12
