case_id,actual,spark_prediction,python_prediction,spark_probability,python_probability,match,agreement_status,disagreement_explanation
T2607006866_2026-07-02,0.0,1.0,0.0,"[0.33923153135024914, 0.6607684686497508]",0.9336299,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007046_2026-07-02,0.0,1.0,1.0,"[0.1930084901868997, 0.8069915098131003]",0.9459421,True,BothWrong,Pipelines agree.
T2607009360_2026-07-02,0.0,1.0,0.0,"[0.4212063135824941, 0.5787936864175058]",0.72222716,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010591_2026-07-02,0.0,0.0,1.0,"[0.7567259791814188, 0.24327402081858118]",0.88203216,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006953_2026-07-02,0.0,1.0,0.0,"[0.18137037885152207, 0.8186296211484779]",0.9336299,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007318_2026-07-02,1.0,1.0,1.0,"[0.3572222802257609, 0.642777719774239]",0.93280375,True,BothCorrect,Pipelines agree.
T2607007228_2026-07-02,1.0,1.0,1.0,"[0.14795273725217173, 0.8520472627478283]",0.9423724,True,BothCorrect,Pipelines agree.
T2607008818_2026-07-02,0.0,0.0,1.0,"[0.7822682540528514, 0.2177317459471486]",0.808987,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009715_2026-07-02,0.0,1.0,0.0,"[0.48197516914591987, 0.5180248308540801]",0.84060663,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009968_2026-07-02,1.0,1.0,1.0,"[0.12716629109709393, 0.8728337089029061]",0.9397882,True,BothCorrect,Pipelines agree.
T2607008180_2026-07-02,0.0,0.0,1.0,"[0.7301339722139377, 0.2698660277860623]",0.60881454,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010956_2026-07-02,0.0,1.0,0.0,"[0.4790120031574135, 0.5209879968425866]",0.9873034,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009140_2026-07-02,0.0,1.0,1.0,"[0.26283222503604114, 0.7371677749639589]",0.9052122,True,BothWrong,Pipelines agree.
T2607008289_2026-07-02,0.0,0.0,0.0,"[0.692839123762961, 0.307160876237039]",0.7359811,True,BothCorrect,Pipelines agree.
T2607008214_2026-07-02,0.0,0.0,0.0,"[0.9313995004973016, 0.06860049950269842]",0.8304777,True,BothCorrect,Pipelines agree.
T2607008720_2026-07-02,0.0,0.0,0.0,"[0.6917190078076059, 0.30828099219239413]",0.585632,True,BothCorrect,Pipelines agree.
T2607008763_2026-07-02,0.0,0.0,1.0,"[0.8648618100088203, 0.13513818999117966]",0.579608,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607005866_2026-07-02,0.0,0.0,0.0,"[0.947085230162214, 0.05291476983778598]",0.996808,True,BothCorrect,Pipelines agree.
T2607009169_2026-07-02,0.0,1.0,1.0,"[0.3059865507272901, 0.6940134492727099]",0.88670546,True,BothWrong,Pipelines agree.
T2607007845_2026-07-02,0.0,0.0,1.0,"[0.5231463980838749, 0.47685360191612514]",0.79596967,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009523_2026-07-02,0.0,0.0,1.0,"[0.9190829237734228, 0.08091707622657718]",0.90089065,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009448_2026-07-02,0.0,1.0,0.0,"[0.3102612840084117, 0.6897387159915883]",0.7320633,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010868_2026-07-02,0.0,0.0,0.0,"[0.8184065464261245, 0.18159345357387546]",0.99031484,True,BothCorrect,Pipelines agree.
T2607006039_2026-07-02,0.0,0.0,1.0,"[0.9229012063074428, 0.07709879369255723]",0.5267058,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008926_2026-07-02,0.0,0.0,1.0,"[0.505775869464059, 0.49422413053594105]",0.61703444,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006771_2026-07-02,0.0,0.0,0.0,"[0.7517965779069974, 0.2482034220930026]",0.9155477,True,BothCorrect,Pipelines agree.
T2607009126_2026-07-02,1.0,0.0,1.0,"[0.6807159580703265, 0.3192840419296735]",0.91678125,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008523_2026-07-02,0.0,0.0,0.0,"[0.599230290372035, 0.400769709627965]",0.7003784,True,BothCorrect,Pipelines agree.
T2607006874_2026-07-02,1.0,1.0,1.0,"[0.26524350869967955, 0.7347564913003204]",0.9462,True,BothCorrect,Pipelines agree.
T2607007219_2026-07-02,0.0,0.0,0.0,"[0.5070038714253676, 0.4929961285746324]",0.93558013,True,BothCorrect,Pipelines agree.
T2607009612_2026-07-02,0.0,1.0,1.0,"[0.17808051921387022, 0.8219194807861298]",0.9149659,True,BothWrong,Pipelines agree.
T2607007750_2026-07-02,0.0,1.0,0.0,"[0.290255788830611, 0.709744211169389]",0.9726036,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007673_2026-07-02,0.0,1.0,1.0,"[0.31667844435949843, 0.6833215556405016]",0.78228223,True,BothWrong,Pipelines agree.
T2607009533_2026-07-02,0.0,0.0,0.0,"[0.55327894498775, 0.44672105501225]",0.76787996,True,BothCorrect,Pipelines agree.
T2607009176_2026-07-02,0.0,1.0,0.0,"[0.09746304557310016, 0.9025369544268999]",0.5600922,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007579_2026-07-02,0.0,1.0,1.0,"[0.43004429974367797, 0.569955700256322]",0.7704934,True,BothWrong,Pipelines agree.
T2607007837_2026-07-02,0.0,0.0,0.0,"[0.5667005246401345, 0.43329947535986546]",0.97263765,True,BothCorrect,Pipelines agree.
T2607006167_2026-07-02,0.0,0.0,0.0,"[0.9087990704696406, 0.09120092953035941]",0.8539646,True,BothCorrect,Pipelines agree.
T2607006060_2026-07-02,0.0,0.0,0.0,"[0.9501103718807989, 0.04988962811920106]",0.8539646,True,BothCorrect,Pipelines agree.
T2607009975_2026-07-02,0.0,0.0,0.0,"[0.5499500187539663, 0.4500499812460337]",0.86692184,True,BothCorrect,Pipelines agree.
T2607008076_2026-07-02,0.0,0.0,1.0,"[0.9481000177501823, 0.05189998224981773]",0.66466856,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007982_2026-07-02,0.0,0.0,1.0,"[0.905850624681727, 0.09414937531827305]",0.66466856,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010159_2026-07-02,0.0,0.0,0.0,"[0.6421907874134959, 0.3578092125865041]",0.86779726,True,BothCorrect,Pipelines agree.
T2607007924_2026-07-02,0.0,0.0,0.0,"[0.7103070400306857, 0.2896929599693143]",0.71980244,True,BothCorrect,Pipelines agree.
T2607006598_2026-07-02,0.0,0.0,0.0,"[0.5831558391869542, 0.41684416081304576]",0.9255738,True,BothCorrect,Pipelines agree.
T2607006692_2026-07-02,0.0,0.0,1.0,"[0.6765704891024056, 0.3234295108975944]",0.89974725,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011406_2026-07-02,0.0,0.0,1.0,"[0.7238327458409238, 0.27616725415907617]",0.5399555,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010686_2026-07-02,0.0,1.0,0.0,"[0.1753432103847823, 0.8246567896152177]",0.95859885,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010245_2026-07-02,0.0,1.0,0.0,"[0.2400669520804292, 0.7599330479195708]",0.9651202,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007038_2026-07-02,0.0,1.0,0.0,"[0.1928299476157343, 0.8071700523842658]",0.9335039,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010514_2026-07-02,0.0,0.0,0.0,"[0.6309325726732736, 0.36906742732672637]",0.9664664,True,BothCorrect,Pipelines agree.
T2607009623_2026-07-02,0.0,1.0,0.0,"[0.4769486475577434, 0.5230513524422566]",0.7950252,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009802_2026-07-02,0.0,0.0,0.0,"[0.5332122683455931, 0.4667877316544069]",0.8219711,True,BothCorrect,Pipelines agree.
T2607008835_2026-07-02,0.0,0.0,1.0,"[0.7480030331176617, 0.2519969668823383]",0.6020116,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006328_2026-07-02,1.0,0.0,0.0,"[0.8830597750189942, 0.11694022498100576]",0.8607948,True,BothWrong,Pipelines agree.
T2607009156_2026-07-02,1.0,0.0,1.0,"[0.5876030882704344, 0.4123969117295656]",0.91757756,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008649_2026-07-02,0.0,0.0,0.0,"[0.9588403720751855, 0.041159627924814535]",0.6268395,True,BothCorrect,Pipelines agree.
T2607005896_2026-07-02,0.0,0.0,0.0,"[0.9841402662889055, 0.015859733711094504]",0.9992339,True,BothCorrect,Pipelines agree.
T2607008550_2026-07-02,0.0,0.0,0.0,"[0.8673365580874993, 0.13266344191250068]",0.73729247,True,BothCorrect,Pipelines agree.
T2607011309_2026-07-02,0.0,1.0,1.0,"[0.3154517521481693, 0.6845482478518308]",0.5232739,True,BothWrong,Pipelines agree.
T2607010678_2026-07-02,0.0,1.0,1.0,"[0.11628137431908908, 0.8837186256809109]",0.88466674,True,BothWrong,Pipelines agree.
T2607005978_2026-07-02,0.0,0.0,0.0,"[0.9799714521863087, 0.020028547813691344]",0.84947586,True,BothCorrect,Pipelines agree.
T2607008804_2026-07-02,0.0,0.0,1.0,"[0.6391240264408584, 0.3608759735591416]",0.7959004,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011079_2026-07-02,0.0,0.0,0.0,"[0.6379666669900849, 0.36203333300991514]",0.6437976,True,BothCorrect,Pipelines agree.
T2607010772_2026-07-02,0.0,0.0,0.0,"[0.8980180921949787, 0.10198190780502125]",0.9896036,True,BothCorrect,Pipelines agree.
T2607009887_2026-07-02,0.0,1.0,0.0,"[0.4920245138996757, 0.5079754861003243]",0.86692184,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010859_2026-07-02,0.0,0.0,0.0,"[0.7422904564864974, 0.2577095435135026]",0.7661548,True,BothCorrect,Pipelines agree.
T2607010069_2026-07-02,0.0,1.0,0.0,"[0.2544043280641566, 0.7455956719358434]",0.86402076,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006138_2026-07-02,0.0,0.0,1.0,"[0.9688694042109425, 0.031130595789057525]",0.5028007,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011035_2026-07-02,0.0,0.0,0.0,"[0.9806609946502948, 0.01933900534970523]",0.51452744,True,BothCorrect,Pipelines agree.
T2607008329_2026-07-02,0.0,0.0,0.0,"[0.655682152280474, 0.344317847719526]",0.8104654,True,BothCorrect,Pipelines agree.
T2607008684_2026-07-02,1.0,1.0,1.0,"[0.46686817663963653, 0.5331318233603635]",0.5600317,True,BothCorrect,Pipelines agree.
T2607007127_2026-07-02,0.0,1.0,0.0,"[0.2988018611384398, 0.7011981388615602]",0.93558013,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007134_2026-07-02,1.0,1.0,1.0,"[0.4305192758184493, 0.5694807241815507]",0.9453969,True,BothCorrect,Pipelines agree.
T2607007758_2026-07-02,0.0,1.0,1.0,"[0.30165575514191095, 0.698344244858089]",0.78228223,True,BothWrong,Pipelines agree.
T2607008030_2026-07-02,0.0,0.0,0.0,"[0.9798531670914724, 0.02014683290852759]",0.7232723,True,BothCorrect,Pipelines agree.
T2607009794_2026-07-02,0.0,0.0,1.0,"[0.8657806979104666, 0.13421930208953337]",0.92887914,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010765_2026-07-02,0.0,1.0,0.0,"[0.4824322181574023, 0.5175677818425977]",0.7661548,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009707_2026-07-02,0.0,1.0,1.0,"[0.24799849349802727, 0.7520015065019727]",0.9261681,True,BothWrong,Pipelines agree.
T2607006682_2026-07-02,0.0,0.0,0.0,"[0.5873549205619801, 0.41264507943801987]",0.91499037,True,BothCorrect,Pipelines agree.
T2607006431_2026-07-02,1.0,1.0,1.0,"[0.48339326627459617, 0.5166067337254039]",0.878717,True,BothCorrect,Pipelines agree.
T2607008246_2026-07-02,0.0,0.0,0.0,"[0.5362732959230663, 0.4637267040769337]",0.8104654,True,BothCorrect,Pipelines agree.
T2607011527_2026-07-02,0.0,0.0,0.0,"[0.9256559524105213, 0.07434404758947866]",0.92334145,True,BothCorrect,Pipelines agree.
T2607008498_2026-07-02,0.0,0.0,0.0,"[0.8033732536438654, 0.19662674635613464]",0.74852943,True,BothCorrect,Pipelines agree.
T2607007568_2026-07-02,0.0,0.0,0.0,"[0.752788742191649, 0.24721125780835096]",0.9768529,True,BothCorrect,Pipelines agree.
T2607009439_2026-07-02,1.0,1.0,1.0,"[0.15626558125774512, 0.8437344187422549]",0.8895377,True,BothCorrect,Pipelines agree.
T2607007404_2026-07-02,1.0,1.0,1.0,"[0.27951471318773224, 0.7204852868122678]",0.77478033,True,BothCorrect,Pipelines agree.
T2607011285_2026-07-02,0.0,0.0,0.0,"[0.9390415160721753, 0.06095848392782466]",0.6766214,True,BothCorrect,Pipelines agree.
T2607007665_2026-07-02,0.0,0.0,0.0,"[0.9457955592376192, 0.054204440762380846]",0.97412133,True,BothCorrect,Pipelines agree.
T2607006961_2026-07-02,0.0,1.0,1.0,"[0.39743074563256847, 0.6025692543674315]",0.9459421,True,BothWrong,Pipelines agree.
T2607011155_2026-07-02,0.0,0.0,1.0,"[0.9366758155702462, 0.06332418442975385]",0.6123123,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011279_2026-07-02,0.0,0.0,1.0,"[0.9548976258375945, 0.04510237416240548]",0.62108564,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011519_2026-07-02,0.0,0.0,0.0,"[0.6473022383818544, 0.3526977616181456]",0.9887557,True,BothCorrect,Pipelines agree.
T2607008670_2026-07-02,0.0,0.0,0.0,"[0.9846665342775989, 0.01533346572240113]",0.5939775,True,BothCorrect,Pipelines agree.
T2607008633_2026-07-02,1.0,0.0,0.0,"[0.9042449737932698, 0.09575502620673015]",0.82678795,True,BothWrong,Pipelines agree.
T2607011331_2026-07-02,0.0,0.0,0.0,"[0.9803833182723496, 0.01961668172765041]",0.9392424,True,BothCorrect,Pipelines agree.
T2607011456_2026-07-02,0.0,0.0,0.0,"[0.9287760407661344, 0.0712239592338656]",0.59386826,True,BothCorrect,Pipelines agree.
T2607008488_2026-07-02,0.0,0.0,0.0,"[0.8573442830388588, 0.1426557169611412]",0.88810474,True,BothCorrect,Pipelines agree.
T2607008432_2026-07-02,0.0,0.0,0.0,"[0.8479762277524178, 0.15202377224758223]",0.688327,True,BothCorrect,Pipelines agree.
T2607009150_2026-07-02,0.0,0.0,1.0,"[0.8642916874867255, 0.13570831251327453]",0.9345766,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008317_2026-07-02,0.0,0.0,0.0,"[0.9780805267713549, 0.02191947322864507]",0.9007707,True,BothCorrect,Pipelines agree.
T2607006394_2026-07-02,0.0,0.0,1.0,"[0.9107942200403741, 0.08920577995962586]",0.85298425,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006580_2026-07-02,0.0,0.0,0.0,"[0.7411041817016019, 0.25889581829839814]",0.8868514,True,BothCorrect,Pipelines agree.
T2607008828_2026-07-02,0.0,0.0,1.0,"[0.9275687241674694, 0.07243127583253062]",0.5864672,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607008954_2026-07-02,0.0,0.0,1.0,"[0.5359770437636477, 0.46402295623635226]",0.60387504,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006265_2026-07-02,0.0,0.0,0.0,"[0.9563273688359067, 0.043672631164093256]",0.9375682,True,BothCorrect,Pipelines agree.
T2607009335_2026-07-02,0.0,0.0,1.0,"[0.6934892711925918, 0.30651072880740815]",0.8588799,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006184_2026-07-02,0.0,0.0,0.0,"[0.987136831867305, 0.012863168132694947]",0.9375682,True,BothCorrect,Pipelines agree.
T2607010568_2026-07-02,0.0,0.0,0.0,"[0.9242608165416555, 0.07573918345834452]",0.95214856,True,BothCorrect,Pipelines agree.
T2607009327_2026-07-02,0.0,0.0,1.0,"[0.8386959620134167, 0.16130403798658333]",0.5125201,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607010923_2026-07-02,0.0,0.0,0.0,"[0.9289011241410792, 0.07109887585892083]",0.98973835,True,BothCorrect,Pipelines agree.
T2607010297_2026-07-02,0.0,0.0,0.0,"[0.928430870809114, 0.07156912919088598]",0.95375097,True,BothCorrect,Pipelines agree.
T2607010132_2026-07-02,0.0,0.0,1.0,"[0.9174546032308732, 0.08254539676912676]",0.9065908,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009855_2026-07-02,0.0,1.0,0.0,"[0.29090652484087104, 0.7090934751591289]",0.6172832,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007542_2026-07-02,0.0,1.0,1.0,"[0.349735524175988, 0.6502644758240119]",0.5290416,True,BothWrong,Pipelines agree.
T2607007554_2026-07-02,0.0,0.0,0.0,"[0.8755711830645782, 0.12442881693542185]",0.9658777,True,BothCorrect,Pipelines agree.
T2607011281_2026-07-02,0.0,0.0,0.0,"[0.9378583613596825, 0.06214163864031752]",0.90720105,True,BothCorrect,Pipelines agree.
T2607006928_2026-07-02,0.0,0.0,1.0,"[0.8066225488306382, 0.19337745116936178]",0.81636864,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007371_2026-07-02,0.0,1.0,1.0,"[0.42401838647828943, 0.5759816135217106]",0.87839437,True,BothWrong,Pipelines agree.
T2607006401_2026-07-02,0.0,0.0,0.0,"[0.9078674482542484, 0.09213255174575163]",0.82992655,True,BothCorrect,Pipelines agree.
T2607006494_2026-07-02,0.0,0.0,0.0,"[0.7387129564177884, 0.26128704358221155]",0.8868514,True,BothCorrect,Pipelines agree.
T2607008208_2026-07-02,0.0,0.0,0.0,"[0.8954220062823847, 0.10457799371761534]",0.89916235,True,BothCorrect,Pipelines agree.
T2607009106_2026-07-02,1.0,0.0,1.0,"[0.8482785302206504, 0.15172146977934964]",0.83810544,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009135_2026-07-02,0.0,0.0,1.0,"[0.859001741145116, 0.14099825885488404]",0.7393594,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607011107_2026-07-02,0.0,0.0,1.0,"[0.9598241277003888, 0.04017587229961117]",0.5609895,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009413_2026-07-02,0.0,1.0,0.0,"[0.33114800062318966, 0.6688519993768103]",0.51752096,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607009500_2026-07-02,0.0,0.0,0.0,"[0.6696891892534704, 0.33031081074652957]",0.51752096,True,BothCorrect,Pipelines agree.
T2607010652_2026-07-02,0.0,0.0,0.0,"[0.6021628592434026, 0.3978371407565974]",0.94002813,True,BothCorrect,Pipelines agree.
T2607010576_2026-07-02,0.0,0.0,1.0,"[0.813305927555241, 0.186694072444759]",0.85321176,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006111_2026-07-02,0.0,0.0,0.0,"[0.8841020423104572, 0.11589795768954281]",0.8670214,True,BothCorrect,Pipelines agree.
T2607009680_2026-07-02,0.0,1.0,0.0,"[0.33647730792552855, 0.6635226920744715]",0.5372057,False,PyOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007646_2026-07-02,0.0,0.0,0.0,"[0.8682843729558728, 0.1317156270441272]",0.9658777,True,BothCorrect,Pipelines agree.
T2607008706_2026-07-02,0.0,0.0,0.0,"[0.9339424555329624, 0.0660575444670376]",0.7549555,True,BothCorrect,Pipelines agree.
T2607010041_2026-07-02,0.0,0.0,1.0,"[0.5897081557984045, 0.4102918442015955]",0.9065908,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607005810_2026-07-02,0.0,0.0,0.0,"[0.9794250707490962, 0.020574929250903762]",0.9996468,True,BothCorrect,Pipelines agree.
T2607009167_2026-07-02,0.0,0.0,1.0,"[0.8849576763040081, 0.11504232369599188]",0.7393594,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607007960_2026-07-02,0.0,0.0,0.0,"[0.9318506855527721, 0.06814931444722794]",0.54316455,True,BothCorrect,Pipelines agree.
T2607006668_2026-07-02,0.0,0.0,0.0,"[0.8039230835591781, 0.19607691644082192]",0.89386547,True,BothCorrect,Pipelines agree.
T2607008849_2026-07-02,0.0,0.0,1.0,"[0.6242044548316397, 0.37579554516836033]",0.5782773,False,SparkOnlyCorrect,"Python XGBoost used threshold tuning (0.70) while Spark used default (0.50), causing slight differences."
T2607006082_2026-07-02,0.0,0.0,0.0,"[0.8938418081555161, 0.10615819184448394]",0.9464113,True,BothCorrect,Pipelines agree.
T2607011063_2026-07-02,0.0,0.0,0.0,"[0.9568675693977745, 0.04313243060222549]",0.9257039,True,BothCorrect,Pipelines agree.
