case_id,actual,spark_prediction,python_prediction,spark_probability,python_probability,match,agreement_status,disagreement_explanation
T2607007481_2026-07-02,On Time,On Time,Moderate,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.3874889,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010506_2026-07-02,On Time,On Time,Moderate,"[0.9007537688442211, 0.0829145728643216, 0.016331658291457288, 0.0]",0.41699186,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010332_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.39079562,True,BothCorrect,Both pipelines predicted same outcome.
T2607009263_2026-07-02,On Time,On Time,Moderate,"[0.9060402684563759, 0.053691275167785234, 0.03691275167785235, 0.003355704697986577]",0.42961326,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010060_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.48010853,True,BothCorrect,Both pipelines predicted same outcome.
T2607008971_2026-07-02,On Time,On Time,On Time,"[0.9676320272572402, 0.030664395229982964, 0.0017035775127768314, 0.0]",0.45935532,True,BothCorrect,Both pipelines predicted same outcome.
T2607006307_2026-07-02,On Time,On Time,Severe,"[0.9253731343283582, 0.06567164179104477, 0.008955223880597015, 0.0]",0.30767092,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006248_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.6443496,True,BothCorrect,Both pipelines predicted same outcome.
T2607010947_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.4050896,True,BothCorrect,Both pipelines predicted same outcome.
T2607006519_2026-07-02,On Time,On Time,Severe,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.68682456,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006782_2026-07-02,On Time,On Time,Severe,"[0.9060402684563759, 0.053691275167785234, 0.03691275167785235, 0.003355704697986577]",0.5915147,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008229_2026-07-02,On Time,On Time,On Time,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.3863257,True,BothCorrect,Both pipelines predicted same outcome.
T2607005787_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.8843503,True,BothCorrect,Both pipelines predicted same outcome.
T2607008364_2026-07-02,On Time,On Time,On Time,"[0.8828502415458938, 0.10748792270531402, 0.00966183574879227, 0.0]",0.37137017,True,BothCorrect,Both pipelines predicted same outcome.
T2607010322_2026-07-02,On Time,On Time,Moderate,"[0.9060402684563759, 0.053691275167785234, 0.03691275167785235, 0.003355704697986577]",0.47759372,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607011201_2026-07-02,On Time,On Time,On Time,"[0.9754204398447607, 0.02199223803363519, 0.00258732212160414, 0.0]",0.48060045,True,BothCorrect,Both pipelines predicted same outcome.
T2607007491_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.5189531,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009272_2026-07-02,Severe,Severe,Severe,"[0.0, 0.0, 0.40625, 0.59375]",0.4303332,True,BothCorrect,Both pipelines predicted same outcome.
T2607006866_2026-07-02,Minor,Moderate,Severe,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.36992377,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007046_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.42894623,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009360_2026-07-02,On Time,On Time,Severe,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.44660297,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010591_2026-07-02,On Time,On Time,Moderate,"[0.9007537688442211, 0.0829145728643216, 0.016331658291457288, 0.0]",0.39872953,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006953_2026-07-02,On Time,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.43640408,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007318_2026-07-02,On Time,On Time,Severe,"[0.9007537688442211, 0.0829145728643216, 0.016331658291457288, 0.0]",0.5483856,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007228_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.0, 0.9885057471264368, 0.011494252873563218]",0.55940014,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008818_2026-07-02,On Time,On Time,On Time,"[0.9593220338983051, 0.03389830508474576, 0.006779661016949152, 0.0]",0.402083,True,BothCorrect,Both pipelines predicted same outcome.
T2607009715_2026-07-02,Minor,Minor,Severe,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.3866187,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009968_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.47845024,True,BothCorrect,Both pipelines predicted same outcome.
T2607008180_2026-07-02,On Time,On Time,Moderate,"[0.9676320272572402, 0.030664395229982964, 0.0017035775127768314, 0.0]",0.3813695,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010956_2026-07-02,Minor,Minor,Severe,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.5074886,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009140_2026-07-02,On Time,On Time,On Time,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.43454733,True,BothCorrect,Both pipelines predicted same outcome.
T2607008289_2026-07-02,On Time,On Time,On Time,"[0.8828502415458938, 0.10748792270531402, 0.00966183574879227, 0.0]",0.4258331,True,BothCorrect,Both pipelines predicted same outcome.
T2607008214_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.6380564,True,BothCorrect,Both pipelines predicted same outcome.
T2607008720_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.6031075,True,BothCorrect,Both pipelines predicted same outcome.
T2607008763_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.41643882,True,BothCorrect,Both pipelines predicted same outcome.
T2607005866_2026-07-02,On Time,On Time,On Time,"[0.9432098765432099, 0.05596707818930041, 8.230452674897119E-4, 0.0]",0.8057868,True,BothCorrect,Both pipelines predicted same outcome.
T2607009169_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.4616939,True,BothCorrect,Both pipelines predicted same outcome.
T2607007845_2026-07-02,Minor,On Time,Severe,"[0.9060402684563759, 0.053691275167785234, 0.03691275167785235, 0.003355704697986577]",0.45620942,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009523_2026-07-02,On Time,On Time,Moderate,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.4442686,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009448_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.46267292,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010599_2026-07-02,Minor,Moderate,Severe,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.5006496,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010868_2026-07-02,Minor,Minor,Severe,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.5059749,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006039_2026-07-02,On Time,On Time,On Time,"[0.9432098765432099, 0.05596707818930041, 8.230452674897119E-4, 0.0]",0.45871568,True,BothCorrect,Both pipelines predicted same outcome.
T2607008926_2026-07-02,On Time,On Time,On Time,"[0.8828502415458938, 0.10748792270531402, 0.00966183574879227, 0.0]",0.49139714,True,BothCorrect,Both pipelines predicted same outcome.
T2607006771_2026-07-02,On Time,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.42452615,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009126_2026-07-02,On Time,On Time,On Time,"[0.7815126050420168, 0.19327731092436976, 0.025210084033613446, 0.0]",0.3868011,True,BothCorrect,Both pipelines predicted same outcome.
T2607008523_2026-07-02,On Time,On Time,On Time,"[0.7815126050420168, 0.19327731092436976, 0.025210084033613446, 0.0]",0.3979457,True,BothCorrect,Both pipelines predicted same outcome.
T2607006874_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.6685357,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007219_2026-07-02,On Time,On Time,Moderate,"[0.9060402684563759, 0.053691275167785234, 0.03691275167785235, 0.003355704697986577]",0.46840355,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009612_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.42479256,True,BothCorrect,Both pipelines predicted same outcome.
T2607007750_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.4089166,True,BothCorrect,Both pipelines predicted same outcome.
T2607007673_2026-07-02,Minor,Minor,Severe,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.45188808,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007395_2026-07-02,On Time,On Time,Moderate,"[0.9060402684563759, 0.053691275167785234, 0.03691275167785235, 0.003355704697986577]",0.40073928,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009533_2026-07-02,Minor,Minor,Severe,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.47259134,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009176_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.4303332,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007579_2026-07-02,On Time,On Time,Severe,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.4364065,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007837_2026-07-02,Minor,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.3746815,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006167_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.6545961,True,BothCorrect,Both pipelines predicted same outcome.
T2607006060_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.58391076,True,BothCorrect,Both pipelines predicted same outcome.
T2607009975_2026-07-02,On Time,On Time,Severe,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.35837835,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008076_2026-07-02,On Time,On Time,Moderate,"[0.9676320272572402, 0.030664395229982964, 0.0017035775127768314, 0.0]",0.32969117,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007982_2026-07-02,On Time,On Time,Minor,"[0.9432098765432099, 0.05596707818930041, 8.230452674897119E-4, 0.0]",0.35070476,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010159_2026-07-02,Minor,Minor,Severe,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.35934463,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007924_2026-07-02,On Time,On Time,Moderate,"[1.0, 0.0, 0.0, 0.0]",0.48538214,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006598_2026-07-02,On Time,On Time,Moderate,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.45415944,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006692_2026-07-02,On Time,On Time,Severe,"[0.84375, 0.10786290322580645, 0.04838709677419355, 0.0]",0.62538815,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607011406_2026-07-02,On Time,On Time,Minor,"[0.8603174603174604, 0.10476190476190476, 0.03492063492063492, 0.0]",0.44972557,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007309_2026-07-02,Minor,Moderate,Moderate,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.37734354,True,BothWrong,Both pipelines predicted same outcome.
T2607010686_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.51630723,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010245_2026-07-02,Severe,Moderate,Moderate,"[0.012944983818770227, 0.025889967637540454, 0.919093851132686, 0.042071197411003236]",0.3679671,True,BothWrong,Both pipelines predicted same outcome.
T2607007038_2026-07-02,On Time,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.45363688,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009351_2026-07-02,On Time,Minor,Moderate,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.424278,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010514_2026-07-02,Minor,On Time,Severe,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.4753658,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009623_2026-07-02,On Time,On Time,Severe,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.49325192,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009802_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.14285714285714285, 0.8301158301158301, 0.02702702702702703]",0.37624764,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008835_2026-07-02,On Time,On Time,On Time,"[0.8828502415458938, 0.10748792270531402, 0.00966183574879227, 0.0]",0.5481562,True,BothCorrect,Both pipelines predicted same outcome.
T2607006328_2026-07-02,Severe,Severe,Moderate,"[0.0, 0.0, 0.2222222222222222, 0.7777777777777778]",0.40124193,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006335_2026-07-02,On Time,On Time,Severe,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.6772466,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009156_2026-07-02,On Time,On Time,Minor,"[0.8603174603174604, 0.10476190476190476, 0.03492063492063492, 0.0]",0.3711784,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008649_2026-07-02,On Time,On Time,On Time,"[0.9253731343283582, 0.06567164179104477, 0.008955223880597015, 0.0]",0.65516645,True,BothCorrect,Both pipelines predicted same outcome.
T2607011343_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.527296,True,BothCorrect,Both pipelines predicted same outcome.
T2607005896_2026-07-02,On Time,On Time,On Time,"[0.9754204398447607, 0.02199223803363519, 0.00258732212160414, 0.0]",0.8594153,True,BothCorrect,Both pipelines predicted same outcome.
T2607008550_2026-07-02,On Time,On Time,On Time,"[0.7815126050420168, 0.19327731092436976, 0.025210084033613446, 0.0]",0.6392967,True,BothCorrect,Both pipelines predicted same outcome.
T2607008453_2026-07-02,Minor,On Time,On Time,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.3962447,True,BothWrong,Both pipelines predicted same outcome.
T2607011309_2026-07-02,On Time,On Time,Minor,"[1.0, 0.0, 0.0, 0.0]",0.5094702,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010409_2026-07-02,Moderate,Moderate,Moderate,"[0.012944983818770227, 0.025889967637540454, 0.919093851132686, 0.042071197411003236]",0.41186264,True,BothCorrect,Both pipelines predicted same outcome.
T2607010236_2026-07-02,Moderate,Severe,Moderate,"[0.0, 0.0, 0.40625, 0.59375]",0.42592308,False,PyOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010678_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.43421584,True,BothCorrect,Both pipelines predicted same outcome.
T2607005978_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.525801,True,BothCorrect,Both pipelines predicted same outcome.
T2607008804_2026-07-02,On Time,On Time,On Time,"[0.84375, 0.10786290322580645, 0.04838709677419355, 0.0]",0.49568212,True,BothCorrect,Both pipelines predicted same outcome.
T2607011079_2026-07-02,On Time,On Time,On Time,"[0.9754204398447607, 0.02199223803363519, 0.00258732212160414, 0.0]",0.50844127,True,BothCorrect,Both pipelines predicted same outcome.
T2607010772_2026-07-02,On Time,On Time,Severe,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.51579124,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009887_2026-07-02,On Time,On Time,Severe,"[0.9007537688442211, 0.0829145728643216, 0.016331658291457288, 0.0]",0.3752466,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010859_2026-07-02,On Time,Minor,Moderate,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.3760058,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010069_2026-07-02,On Time,On Time,Moderate,"[0.7067833698030634, 0.19037199124726478, 0.10284463894967177, 0.0]",0.40536857,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006138_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.43125707,True,BothCorrect,Both pipelines predicted same outcome.
T2607011035_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.43885186,True,BothCorrect,Both pipelines predicted same outcome.
T2607008329_2026-07-02,On Time,On Time,On Time,"[0.9253731343283582, 0.06567164179104477, 0.008955223880597015, 0.0]",0.5947202,True,BothCorrect,Both pipelines predicted same outcome.
T2607008684_2026-07-02,Minor,Minor,On Time,"[0.2631578947368421, 0.49122807017543857, 0.24561403508771928, 0.0]",0.47066915,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607011503_2026-07-02,On Time,Minor,On Time,"[0.4166666666666667, 0.5, 0.08333333333333333, 0.0]",0.43839,False,PyOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008401_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.6293156,True,BothCorrect,Both pipelines predicted same outcome.
T2607010420_2026-07-02,Minor,Minor,Severe,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.39699313,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007127_2026-07-02,On Time,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.49678662,False,BothWrong,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007134_2026-07-02,Minor,Minor,Severe,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.4809991,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607007758_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.1340782122905028, 0.8044692737430168, 0.061452513966480445]",0.4807503,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008030_2026-07-02,On Time,On Time,On Time,"[0.9754204398447607, 0.02199223803363519, 0.00258732212160414, 0.0]",0.54986006,True,BothCorrect,Both pipelines predicted same outcome.
T2607009794_2026-07-02,On Time,On Time,Moderate,"[0.9007537688442211, 0.0829145728643216, 0.016331658291457288, 0.0]",0.40606686,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607010765_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.42626917,True,BothCorrect,Both pipelines predicted same outcome.
T2607006227_2026-07-02,On Time,On Time,Severe,"[0.9754204398447607, 0.02199223803363519, 0.00258732212160414, 0.0]",0.31109315,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009707_2026-07-02,Minor,Minor,Moderate,"[0.1488095238095238, 0.5178571428571429, 0.31845238095238093, 0.01488095238095238]",0.4449628,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006682_2026-07-02,On Time,On Time,Moderate,"[0.6063829787234043, 0.2393617021276596, 0.1524822695035461, 0.0017730496453900709]",0.3838256,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607006431_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.0, 0.9885057471264368, 0.011494252873563218]",0.69142973,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607008246_2026-07-02,On Time,On Time,On Time,"[0.9253731343283582, 0.06567164179104477, 0.008955223880597015, 0.0]",0.63601077,True,BothCorrect,Both pipelines predicted same outcome.
T2607011527_2026-07-02,On Time,On Time,On Time,"[1.0, 0.0, 0.0, 0.0]",0.5176483,True,BothCorrect,Both pipelines predicted same outcome.
T2607008498_2026-07-02,On Time,On Time,On Time,"[0.8828502415458938, 0.10748792270531402, 0.00966183574879227, 0.0]",0.6368096,True,BothCorrect,Both pipelines predicted same outcome.
T2607007568_2026-07-02,Minor,Minor,Moderate,"[0.2336448598130841, 0.514018691588785, 0.24922118380062305, 0.003115264797507788]",0.39432988,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607009439_2026-07-02,Moderate,Moderate,Moderate,"[0.0, 0.019867549668874173, 0.7549668874172185, 0.2251655629139073]",0.424278,True,BothCorrect,Both pipelines predicted same outcome.
T2607007404_2026-07-02,Moderate,Moderate,Severe,"[0.0, 0.0, 0.9885057471264368, 0.011494252873563218]",0.48619205,False,SparkOnlyCorrect,"Spark had access to Phase 4 engineered features (rolling delay history, occupancy history); Python did not."
T2607011285_2026-07-02,On Time,On Time,On Time,"[0.9253731343283582, 0.06567164179104477, 0.008955223880597015, 0.0]",0.4292586,True,BothCorrect,Both pipelines predicted same outcome.
