case_id,actual,spark_prediction,python_prediction,spark_value,python_value,absolute_difference,match,agreement_status,disagreement_explanation
R011_2026-07-02,6108.968253968254,5711.514896734392,5822.55110602781,5711.514896734392,5822.55110602781,111.03620929341832,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R012_2026-07-02,2822.7692307692305,2150.474346383145,2049.203032433404,2150.474346383145,2049.203032433404,101.27131394974094,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R013_2026-07-02,1200.1,1142.5853510468098,1019.6284576626288,1142.5853510468098,1019.6284576626288,122.95689338418106,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R014_2026-07-02,2099.0,1512.3414823324724,1657.0733928702705,1512.3414823324724,1657.0733928702705,144.73191053779806,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R015_2026-07-02,2161.125,1560.1488513260647,1450.1619069283563,1560.1488513260647,1450.1619069283563,109.98694439770838,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R016_2026-07-02,5106.0,4069.990443377557,4578.665021645023,4069.990443377557,4578.665021645023,508.6745782674666,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R017_2026-07-02,2889.0,2705.6858335643087,2574.4372532816456,2705.6858335643087,2574.4372532816456,131.24858028266317,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R018_2026-07-02,1864.3902439024391,1832.668178169035,1286.6046543188186,1832.668178169035,1286.6046543188186,546.0635238502164,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R019_2026-07-02,3057.8360655737706,2612.691402580862,2316.07097750974,2612.691402580862,2316.07097750974,296.6204250711221,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R020_2026-07-02,5149.9807692307695,4850.580124010524,3556.0433931894145,4850.580124010524,3556.0433931894145,1294.5367308211094,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R021_2026-07-02,954.75,871.2593269837276,840.3809965706354,871.2593269837276,840.3809965706354,30.87833041309227,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R022_2026-07-02,884.8888888888888,653.5225788731975,582.2843781183168,653.5225788731975,582.2843781183168,71.23820075488072,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R023_2026-07-02,3656.25,3093.654791722537,3262.286063643958,3093.654791722537,3262.286063643958,168.6312719214211,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R024_2026-07-02,6105.0,5646.159509174936,5167.666621572871,5646.159509174936,5167.666621572871,478.4928876020649,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R025_2026-07-02,2926.769230769231,2753.006699774898,2280.50910172131,2753.006699774898,2280.50910172131,472.49759805358826,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R026_2026-07-02,2890.0,2758.2356809313515,2587.118348302782,2758.2356809313515,2587.118348302782,171.11733262856933,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R027_2026-07-02,1668.4313725490197,1551.9321765942557,1217.3139811689648,1551.9321765942557,1217.3139811689648,334.6181954252909,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R028_2026-07-02,4021.0,3637.964956742112,3611.577653651176,3637.964956742112,3611.577653651176,26.387303090935802,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R029_2026-07-02,2238.75,2219.1900824569097,1907.0444900561288,2219.1900824569097,1907.0444900561288,312.14559240078097,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R030_2026-07-02,511.0,508.78814322554905,496.4944643115746,508.78814322554905,496.4944643115746,12.293678913974475,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R031_2026-07-02,6282.0,5626.907486049342,5769.828267086448,5626.907486049342,5769.828267086448,142.92078103710628,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R032_2026-07-02,3377.0,2983.3336010381904,2978.495049572075,2983.3336010381904,2978.495049572075,4.838551466115405,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R033_2026-07-02,3604.0,3747.18990300836,3251.233770743146,3747.18990300836,3251.233770743146,495.9561322652139,False,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R034_2026-07-02,5304.610169491526,4600.358254433218,4532.59601010101,4600.358254433218,4532.59601010101,67.76224433220796,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R035_2026-07-02,1485.3658536585367,1416.878269146154,1526.1876851539853,1416.878269146154,1526.1876851539853,109.30941600783126,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R036_2026-07-02,3528.0,3491.319453282329,2519.992568495029,3491.319453282329,2519.992568495029,971.3268847873001,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R037_2026-07-02,2767.0,2097.8936572106627,1685.6234682947384,2097.8936572106627,1685.6234682947384,412.27018891592434,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R038_2026-07-02,1730.9090909090908,1559.227584037134,1388.199295463255,1559.227584037134,1388.199295463255,171.02828857387885,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R039_2026-07-02,1215.0,989.3010458030938,1001.2582127702784,989.3010458030938,1001.2582127702784,11.957166967184662,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R040_2026-07-02,1161.3793103448277,918.6306864112642,603.8694730136475,918.6306864112642,603.8694730136475,314.76121339761664,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R041_2026-07-02,1393.0,1310.187841773768,1420.7059993020848,1310.187841773768,1420.7059993020848,110.5181575283168,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R042_2026-07-02,1422.0,1389.3406528296234,1445.809059157984,1389.3406528296234,1445.809059157984,56.468406328360516,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R043_2026-07-02,882.0,848.918221285996,881.9482607434853,848.918221285996,881.9482607434853,33.03003945748935,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R044_2026-07-02,1598.0,1208.6014829430935,1383.6646634698916,1208.6014829430935,1383.6646634698916,175.06318052679808,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R045_2026-07-02,662.0,592.0586972043747,582.0099937142337,592.0586972043747,582.0099937142337,10.048703490140952,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R046_2026-07-02,1558.0,1198.369832242546,1252.1773730200027,1198.369832242546,1252.1773730200027,53.80754077745678,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R047_2026-07-02,1334.516129032258,1377.0496438325229,944.4623515695056,1377.0496438325229,944.4623515695056,432.5872922630173,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R048_2026-07-02,250.0,269.0356847774982,225.72002439372184,269.0356847774982,225.72002439372184,43.31566038377636,False,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R049_2026-07-02,1242.0,1417.5399933018462,1455.5632489672378,1417.5399933018462,1455.5632489672378,38.023255665391616,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R050_2026-07-02,944.0,826.9750113795893,856.2223229194129,826.9750113795893,856.2223229194129,29.247311539823613,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R051_2026-07-02,789.25,611.7746659259044,611.3536346675843,611.7746659259044,611.3536346675843,0.421031258320113,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R052_2026-07-02,1201.0,1029.014997510933,1023.6280560838296,1029.014997510933,1023.6280560838296,5.386941427103352,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R053_2026-07-02,1230.25,1051.9886102491066,622.2796920639827,1051.9886102491066,622.2796920639827,429.70891818512393,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R054_2026-07-02,2816.5454545454545,2265.59947048632,1920.8132973047868,2265.59947048632,1920.8132973047868,344.7861731815333,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R055_2026-07-02,621.0,621.7150988548491,655.7351401142719,621.7150988548491,655.7351401142719,34.02004125942278,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R056_2026-07-02,1346.6666666666663,1123.4263161285833,864.2986125755729,1123.4263161285833,864.2986125755729,259.1277035530104,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R057_2026-07-02,580.5882352941177,502.26592756690616,477.1248430600405,502.26592756690616,477.1248430600405,25.14108450686564,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R058_2026-07-02,1428.0,1223.599884404036,1217.5780841068329,1223.599884404036,1217.5780841068329,6.021800297203072,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R059_2026-07-02,439.0,438.5079003182072,464.3536351870082,438.5079003182072,464.3536351870082,25.845734868801003,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R060_2026-07-02,2296.875,1744.749593900841,1250.5977096514362,1744.749593900841,1250.5977096514362,494.15188424940493,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R061_2026-07-02,2962.0,2546.019693459169,2488.306640782526,2546.019693459169,2488.306640782526,57.7130526766432,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R062_2026-07-02,1673.9999999999998,1437.5309657217983,1528.6444965453072,1437.5309657217983,1528.6444965453072,91.11353082350888,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R063_2026-07-02,481.0,522.1619224322809,551.6998389430253,522.1619224322809,551.6998389430253,29.537916510744367,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R064_2026-07-02,524.0,614.8119467801995,627.2860822624277,614.8119467801995,627.2860822624277,12.474135482228235,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R065_2026-07-02,1808.0,1628.5224640144047,1772.6479908379797,1628.5224640144047,1772.6479908379797,144.125526823575,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R066_2026-07-02,1135.0,850.2588754577463,862.7414050399144,850.2588754577463,862.7414050399144,12.482529582168127,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R067_2026-07-02,515.0,435.5106777864037,471.7842497244912,435.5106777864037,471.7842497244912,36.273571938087514,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R068_2026-07-02,1784.0,1300.734670672699,1480.8408379562322,1300.734670672699,1480.8408379562322,180.1061672835333,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R069_2026-07-02,843.7058823529412,748.942724319885,629.774910341486,748.942724319885,629.774910341486,119.16781397839895,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R070_2026-07-02,2066.0,1945.7191383239144,1887.0932127584651,1945.7191383239144,1887.0932127584651,58.62592556544928,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R071_2026-07-02,1490.0,1080.0572273029068,988.241132372868,1080.0572273029068,988.241132372868,91.81609493003873,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R072_2026-07-02,625.0,572.9797349495159,586.1070554614795,572.9797349495159,586.1070554614795,13.127320511963603,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R073_2026-07-02,1867.6875,1535.8610936990567,1237.3198569501078,1535.8610936990567,1237.3198569501078,298.5412367489489,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R074_2026-07-02,1777.0,1479.4195935742257,1437.4668392093772,1479.4195935742257,1437.4668392093772,41.95275436484849,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R075_2026-07-02,1144.0,1026.5237788551358,956.3609248810452,1026.5237788551358,956.3609248810452,70.16285397409058,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R076_2026-07-02,1159.0,885.157617156764,872.142772384165,885.157617156764,872.142772384165,13.014844772598963,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R077_2026-07-02,653.0,594.3795270100167,621.7649081556052,594.3795270100167,621.7649081556052,27.385381145588553,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R078_2026-07-02,396.675,301.5610380762432,310.7553154949656,301.5610380762432,310.7553154949656,9.194277418722379,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R079_2026-07-02,1121.09375,841.9148490353239,637.5557645450602,841.9148490353239,637.5557645450602,204.35908449026363,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R080_2026-07-02,799.0,967.8766480412193,948.488794672525,967.8766480412193,948.488794672525,19.38785336869421,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R081_2026-07-02,2907.0,2954.002513707164,2962.894044250337,2954.002513707164,2962.894044250337,8.891530543173303,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R082_2026-07-02,344.99999999999994,381.33713243979895,423.9104569238952,381.33713243979895,423.9104569238952,42.57332448409625,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R083_2026-07-02,603.0,583.2168612488471,611.0481939947674,583.2168612488471,611.0481939947674,27.83133274592035,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R084_2026-07-02,1047.076923076923,886.0036730283765,875.3270507862462,886.0036730283765,875.3270507862462,10.676622242130293,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R085_2026-07-02,741.6585365853659,636.5019306695445,588.6948903824582,636.5019306695445,588.6948903824582,47.80704028708635,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R086_2026-07-02,1590.0,1302.892785895545,1234.6925449141297,1302.892785895545,1234.6925449141297,68.20024098141539,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R087_2026-07-02,574.0,540.4592712555991,540.892155138147,540.4592712555991,540.892155138147,0.43288388254791244,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R088_2026-07-02,318.8571428571429,292.2705137760641,182.16186027327325,292.2705137760641,182.16186027327325,110.10865350279084,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R089_2026-07-02,797.9354838709677,628.1045472530054,602.8280936651411,628.1045472530054,602.8280936651411,25.276453587864353,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R090_2026-07-02,586.0,528.172761704143,517.7722820392945,528.172761704143,517.7722820392945,10.40047966484849,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R091_2026-07-02,366.0,392.6715613271039,139.37414502753407,392.6715613271039,139.37414502753407,253.29741629956985,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R092_2026-07-02,232.00000000000003,255.4763338141501,229.26526609227,255.4763338141501,229.26526609227,26.211067721880113,False,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R093_2026-07-02,233.0,267.2471672214912,244.8487148484842,267.2471672214912,244.8487148484842,22.398452373007018,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R094_2026-07-02,513.0,427.49027974983727,435.1303631073485,427.49027974983727,435.1303631073485,7.64008335751123,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R095_2026-07-02,501.0,437.8842116474573,459.80425737208685,437.8842116474573,459.80425737208685,21.920045724629574,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R096_2026-07-02,677.0,633.9479025764762,566.2694606164196,633.9479025764762,566.2694606164196,67.6784419600566,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R097_2026-07-02,952.0,843.8880139234788,880.4757869168955,843.8880139234788,880.4757869168955,36.587772993416706,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R098_2026-07-02,200.68965517241375,291.4254224013998,261.4631431182582,291.4254224013998,261.4631431182582,29.96227928314164,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R099_2026-07-02,511.00000000000006,336.86761235011903,369.0594173401721,336.86761235011903,369.0594173401721,32.19180499005307,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R100_2026-07-02,554.0,524.056428212535,568.0121445372886,524.056428212535,568.0121445372886,43.95571632475355,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R101_2026-07-02,300.0,292.2705137760641,262.867084120846,292.2705137760641,262.867084120846,29.403429655218076,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R102_2026-07-02,307.0,292.2705137760641,263.2221453075372,292.2705137760641,263.2221453075372,29.048368468526917,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R103_2026-07-02,678.0,576.9952010200664,595.0380654737943,576.9952010200664,595.0380654737943,18.04286445372793,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R104_2026-07-02,407.0,389.7287588486754,400.0209090387502,389.7287588486754,400.0209090387502,10.292150190074778,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R105_2026-07-02,656.516129032258,601.4896901998961,620.8707854252307,601.4896901998961,620.8707854252307,19.381095225334548,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R106_2026-07-02,819.8095238095239,698.6052028549935,502.6407167364819,698.6052028549935,502.6407167364819,195.96448611851162,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R107_2026-07-02,987.0,772.0223797098521,805.2484957216197,772.0223797098521,805.2484957216197,33.22611601176766,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R108_2026-07-02,705.5172413793103,578.6056216156308,556.9615314794004,578.6056216156308,556.9615314794004,21.644090136230375,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R109_2026-07-02,709.0,576.6376132244535,613.0134480725993,576.6376132244535,613.0134480725993,36.375834848145814,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R110_2026-07-02,740.0,627.6788954576718,509.9018378456711,627.6788954576718,509.9018378456711,117.77705761200076,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R111_2026-07-02,1754.0,1316.94123130022,1434.5072341697708,1316.94123130022,1434.5072341697708,117.56600286955086,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R112_2026-07-02,687.0,513.0022388513,555.1924298967767,513.0022388513,555.1924298967767,42.190191045476695,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R113_2026-07-02,1881.6949152542372,1468.0373259327137,1558.8699815697655,1468.0373259327137,1558.8699815697655,90.83265563705186,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R114_2026-07-02,748.0,604.6442082529647,564.07514303204,604.6442082529647,564.07514303204,40.5690652209247,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R115_2026-07-02,494.54545454545456,447.4029307872654,331.5487103310051,447.4029307872654,331.5487103310051,115.8542204562603,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R116_2026-07-02,1799.0,1460.3511815786896,1666.8890899299258,1460.3511815786896,1666.8890899299258,206.53790835123618,False,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R001_2026-07-03,12122.491379310346,13085.2750777744,12031.163652597406,13085.2750777744,12031.163652597406,1054.111425176994,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R002_2026-07-03,10937.606837606838,11888.883353161897,8216.351298701302,11888.883353161897,8216.351298701302,3672.5320544605947,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R003_2026-07-03,11377.752136752137,11374.415187033735,10010.004146825397,11374.415187033735,10010.004146825397,1364.4110402083388,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R004_2026-07-03,14039.852459016394,13273.264026625404,14174.205739538234,13273.264026625404,14174.205739538234,900.9417129128306,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R005_2026-07-03,2745.0,3012.325537222242,3021.718111504655,3012.325537222242,3021.718111504655,9.39257428241308,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R006_2026-07-03,789.0,832.6895733795855,814.9548931639748,832.6895733795855,814.9548931639748,17.734680215610638,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R007_2026-07-03,1758.046875,1539.6192461717117,1692.6906832864197,1539.6192461717117,1692.6906832864197,153.07143711470803,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R008_2026-07-03,2145.0,2461.621179241164,2361.0229203023555,2461.621179241164,2361.0229203023555,100.59825893880861,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R009_2026-07-03,2115.35593220339,1817.3362909792331,1936.496873994064,1817.3362909792331,1936.496873994064,119.16058301483076,True,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R010_2026-07-03,2487.0,2211.773858471215,2497.461357168395,2211.773858471215,2497.461357168395,285.68749869717976,False,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R011_2026-07-03,5750.0,5472.783522328886,3433.401209332696,5472.783522328886,3433.401209332696,2039.3823129961897,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R012_2026-07-03,2490.0,2247.652352029003,2418.8393818630825,2247.652352029003,2418.8393818630825,171.18702983407957,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R013_2026-07-03,1065.9,1105.0604875037488,960.3688766912334,1105.0604875037488,960.3688766912334,144.69161081251548,False,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R014_2026-07-03,1560.0,1555.798544736189,1749.554442574428,1555.798544736189,1749.554442574428,193.7558978382392,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R015_2026-07-03,1644.2105263157896,1664.1713125101348,1760.427394815667,1664.1713125101348,1760.427394815667,96.25608230553212,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R016_2026-07-03,4169.0,4458.564402512485,3787.711058802307,4458.564402512485,3787.711058802307,670.8533437101778,False,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R017_2026-07-03,2955.0,2593.9031761984547,2403.702416925636,2593.9031761984547,2403.702416925636,190.2007592728187,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R018_2026-07-03,1727.142857142857,1772.7236712121703,1200.2343514282304,1772.7236712121703,1200.2343514282304,572.4893197839399,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R019_2026-07-03,3038.065573770492,2585.652150873165,2302.039902223489,2585.652150873165,2302.039902223489,283.6122486496756,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R020_2026-07-03,5128.96,4784.963376103648,4036.768861263007,4784.963376103648,4036.768861263007,748.1945148406417,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R021_2026-07-03,833.3898305084746,846.5171820877374,869.8057118424051,846.5171820877374,869.8057118424051,23.288529754667707,True,BothCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R022_2026-07-03,782.9074074074074,710.1352389461033,649.499641881409,710.1352389461033,649.499641881409,60.63559706469425,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R023_2026-07-03,2540.0,3092.348275524223,2525.550020335884,3092.348275524223,2525.550020335884,566.7982551883392,False,PyOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R024_2026-07-03,6099.862068965517,5690.880078612202,5237.029853896106,5690.880078612202,5237.029853896106,453.8502247160959,True,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R025_2026-07-03,2650.3529411764707,2672.3502879712973,2234.097099771005,2672.3502879712973,2234.097099771005,438.25318820029224,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R026_2026-07-03,2459.0,2826.0164024829005,3212.635683162797,2826.0164024829005,3212.635683162797,386.6192806798963,False,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R027_2026-07-03,1538.2040816326532,1484.481100008079,1158.463854691294,1484.481100008079,1158.463854691294,326.01724531678497,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
R028_2026-07-03,3177.0,3691.579473218809,4008.945968045113,3691.579473218809,4008.945968045113,317.366494826304,True,BothWrong,"Both models missed within 10% tolerance, but Python captured recent lags better."
R029_2026-07-03,2205.943396226415,2075.282993543213,1791.5814784750517,2075.282993543213,1791.5814784750517,283.70151506816114,False,SparkOnlyCorrect,Spark's window functions struggled on the small dataset size compared to pandas shift() logic.
